cve,description
CVE-2024-52283,"707, 74, 79"
CVE-2024-8672,"664, 707, 74, 913, 94"
CVE-2024-11402,"707, 74, 79"
CVE-2024-11620,"664, 707, 74, 913, 94"
CVE-2024-52474,"707, 74, 89, 943"
CVE-2024-52475,"284, 287, 288, 306"
CVE-2024-52481,"22, 664, 668, 706"
CVE-2024-52490,"434, 664, 669"
CVE-2024-52495,"707, 74, 89, 943"
CVE-2024-52496,"664, 669, 706, 829, 98"
CVE-2024-52497,"664, 669, 706, 829, 98"
CVE-2024-52498,"22, 23, 35, 664, 668, 706"
CVE-2024-52499,"664, 669, 706, 829, 98"
CVE-2024-52501,"664, 669, 706, 829, 98"
CVE-2024-53732,"345, 352, 693"
CVE-2024-53733,"707, 74, 79"
CVE-2024-53734,"345, 352, 693"
CVE-2024-53736,"345, 352, 693"
CVE-2024-53737,"707, 74, 79"
CVE-2024-8308,"707, 74, 89, 943"
CVE-2024-53731,"707, 74, 79"
CVE-2024-7747,"664, 681, 704"
CVE-2023-52922,
CVE-2024-11959,"118, 119, 664"
CVE-2024-11960,"118, 119, 664"
CVE-2024-11961,"200, 664, 668"
CVE-2024-11962,"707, 74"
CVE-2024-11963,"707, 74"
CVE-2024-11969,"276, 284, 285, 664, 668, 732"
CVE-2024-11964,"707, 74"
CVE-2024-11965,"707, 74"
CVE-2024-52338,"502, 664, 913"
CVE-2024-11966,"707, 74"
CVE-2024-11967,"707, 74"
CVE-2024-11968,"707, 74"
CVE-2024-11970,"707, 74"
CVE-2024-11971,"707, 74, 79"
CVE-2024-8299,"427, 664, 668"
CVE-2024-8300,"1164, 561, 710"
CVE-2024-9852,"427, 664, 668"
CVE-2024-11978,"22, 36, 664, 668, 706"
CVE-2024-11979,"434, 664, 669"
CVE-2024-54123,"707, 74, 79"
CVE-2024-54124,"284, 285, 863"
CVE-2024-35451,
CVE-2024-45495,
CVE-2024-48651,
CVE-2024-10704,
CVE-2024-10980,
CVE-2024-11980,"284, 287, 306"
CVE-2024-39162,"707, 74, 79"
CVE-2024-53701,"284, 287, 306"
CVE-2024-11981,"284, 287, 288, 306"
CVE-2024-11013,"707, 74, 77"
CVE-2024-11014,"345, 352, 693"
CVE-2024-11481,"22, 664, 668, 706"
CVE-2024-11482,"707, 74, 77, 78"
CVE-2024-11982,"1390, 256, 284, 287, 522, 664, 668"
CVE-2024-11983,"707, 74, 77, 78"
CVE-2024-9044,"610, 611, 664"
CVE-2024-47094,"200, 532, 538, 664, 668"
CVE-2024-50357,"684, 710"
CVE-2024-11990,"707, 74, 79"
CVE-2024-11992,"22, 664, 668, 706"
CVE-2024-36671,
CVE-2024-48406,
CVE-2024-52777,
CVE-2024-52778,
